Year,State,County,Population
2000,Arkansas,Union County,45633
2000,Arkansas,Van Buren County,16182
2000,Arkansas,Washington County,157805
2000,Arkansas,White County,67164
2000,Arkansas,Woodruff County,8738
2000,Arkansas,Yell County,21127
2000,California,Alameda County,1443705
2000,California,Alpine County,1206
2000,California,Amador County,35101
2000,California,Butte County,203125
2000,California,Calaveras County,40535
2000,California,Colusa County,18799
2000,California,Contra Costa County,948865
2000,California,Del Norte County,27505
2000,California,El Dorado County,156314
2000,California,Fresno County,798766
2000,California,Glenn County,26432
2000,California,Humboldt County,126508
2000,California,Imperial County,142334
2000,California,Inyo County,17955
2000,California,Kern County,661632
2000,California,Kings County,129470
2000,California,Lake County,58331
2000,California,Lassen County,33828
2000,California,Los Angeles County,9519315
2000,California,Madera County,123179
2000,California,Marin County,247301
2000,California,Mariposa County,17112
2000,California,Mendocino County,86253
2000,California,Merced County,211178
2000,California,Modoc County,9431
2000,California,Mono County,12839
2000,California,Monterey County,401752
2000,California,Napa County,124344
2000,California,Nevada County,92055
2000,California,Orange County,2846282
2000,California,Placer County,248270
2000,California,Plumas County,20817
2000,California,Riverside County,1545320
2000,California,Sacramento County,1223578
2000,California,San Benito County,53214
2000,California,San Bernardino County,1709479
2000,California,San Diego County,2813839
2000,California,San Francisco County,776764
2000,California,San Joaquin County,563660
2000,California,San Luis Obispo County,246746
2000,California,San Mateo County,707099
2000,California,Santa Barbara County,399293
2000,California,Santa Clara County,1682781
2000,California,Santa Cruz County,255614
2000,California,Shasta County,163242
2000,California,Sierra County,3559
2000,California,Siskiyou County,44305
2000,California,Solano County,394495
2000,California,Sonoma County,458586
2000,California,Stanislaus County,446850
2000,California,Sutter County,78947
2000,California,Tehama County,56060
2000,California,Trinity County,13011
2000,California,Tulare County,368011
2000,California,Tuolumne County,54522
2000,California,Ventura County,753230
2000,California,Yolo County,168660
2000,California,Yuba County,60249
2000,Colorado,Adams County,348076
2000,Colorado,Alamosa County,14965
2000,Colorado,Arapahoe County,488829
2000,Colorado,Archuleta County,9894
2000,Colorado,Baca County,4517
2000,Colorado,Bent County,5996
2000,Colorado,Boulder County,269784
2000,Colorado,Chaffee County,16250
2000,Colorado,Cheyenne County,2229
2000,Colorado,Clear Creek County,9263
2000,Colorado,Conejos County,8400
2000,Colorado,Costilla County,3661
2000,Colorado,Crowley County,5514
2000,Colorado,Custer County,3508
2000,Colorado,Delta County,27824
2000,Colorado,Denver County,553805
2000,Colorado,Dolores County,1844
2000,Colorado,Douglas County,175732
2000,Colorado,Eagle County,41623
2000,Colorado,El Paso County,516934
2000,Colorado,Elbert County,19855
2000,Colorado,Fremont County,46140
2000,Colorado,Garfield County,43786
2000,Colorado,Gilpin County,4746
2000,Colorado,Grand County,12433
2000,Colorado,Gunnison County,14000
2000,Colorado,Hinsdale County,792
2000,Colorado,Huerfano County,7859
2000,Colorado,Jackson County,1577
2000,Colorado,Jefferson County,525449
2000,Colorado,Kiowa County,1622
2000,Colorado,Kit Carson County,8013
2000,Colorado,La Plata County,43957
2000,Colorado,Lake County,7814
2000,Colorado,Larimer County,251489
2000,Colorado,Las Animas County,15212
2000,Colorado,Lincoln County,6089
2000,Colorado,Logan County,20566
2000,Colorado,Mesa County,116939
2000,Colorado,Mineral County,831
2000,Colorado,Moffat County,13178
2000,Colorado,Montezuma County,23822
2000,Colorado,Montrose County,33438
2000,Colorado,Morgan County,27172
2000,Colorado,Otero County,20311
2000,Colorado,Ouray County,3747
2000,Colorado,Park County,14519
2000,Colorado,Phillips County,4485
2000,Colorado,Pitkin County,14889
2000,Colorado,Prowers County,14483
2000,Colorado,Pueblo County,141490
2000,Colorado,Rio Blanco County,5992
2000,Colorado,Rio Grande County,12425
2000,Colorado,Routt County,19679
2000,Colorado,Saguache County,5904
2000,Colorado,San Juan County,558
2000,Colorado,San Miguel County,6593
2000,Colorado,Sedgwick County,2747
2000,Colorado,Summit County,23560
2000,Colorado,Teller County,20541
2000,Colorado,Washington County,4922
2000,Colorado,Weld County,180766
2000,Colorado,Yuma County,9846
2000,Connecticut,Fairfield County,882622
2000,Connecticut,Hartford County,857184
2000,Connecticut,Litchfield County,182183
2000,Connecticut,Middlesex County,155088
2000,Connecticut,New Haven County,823993
2000,Connecticut,New London County,259108
2000,Connecticut,Tolland County,136377
2000,Connecticut,Windham County,109095
2000,Delaware,Kent County,126771
2000,Delaware,New Castle County,500294
2000,Delaware,Sussex County,156494
2000,District Of Columbia,District Of Columbia,572086
2000,Florida,Alachua County,217964
2000,Florida,Baker County,22255
2000,Florida,Bay County,148270
2000,Florida,Bradford County,26096
2000,Florida,Brevard County,476299
2000,Florida,Broward County,1622974
2000,Florida,Calhoun County,13002
2000,Florida,Charlotte County,141620
2000,Florida,Citrus County,118106
2000,Florida,Clay County,140788
2000,Florida,Collier County,251412
2000,Florida,Columbia County,56413
2000,Florida,Desoto County,32204
2000,Florida,Dixie County,13758
2000,Florida,Duval County,778896
2000,Florida,Escambia County,294415
2000,Florida,Flagler County,49818
2000,Florida,Franklin County,9827
2000,Florida,Gadsden County,45017
2000,Florida,Gilchrist County,14429
2000,Florida,Glades County,10531
2000,Florida,Gulf County,14548
2000,Florida,Hamilton County,13321
2000,Florida,Hardee County,26854
2000,Florida,Hendry County,36184
2000,Florida,Hernando County,130795
2000,Florida,Highlands County,87391
2000,Florida,Hillsborough County,998994
2000,Florida,Holmes County,18564
2000,Florida,Indian River County,112877
2000,Florida,Jackson County,46781
2000,Florida,Jefferson County,12876
2000,Florida,Lafayette County,7019
2000,Florida,Lake County,210418
2000,Florida,Lee County,440910
2000,Florida,Leon County,239509
2000,Florida,Levy County,34448
2000,Florida,Liberty County,7011
2000,Florida,Madison County,18720
2000,Florida,Manatee County,263996
2000,Florida,Marion County,258873
2000,Florida,Martin County,126777
2000,Florida,Miami-Dade County,2253793
2000,Florida,Monroe County,79602
2000,Florida,Nassau County,57645
2000,Florida,Okaloosa County,170520
2000,Florida,Okeechobee County,35869
2000,Florida,Orange County,896123
2000,Florida,Osceola County,172520
2000,Florida,Palm Beach County,1131189
2000,Florida,Pasco County,344749
2000,Florida,Pinellas County,921500
2000,Florida,Polk County,483888
2000,Florida,Putnam County,70418
2000,Florida,Santa Rosa County,117752
2000,Florida,Sarasota County,326002
2000,Florida,Seminole County,365448
2000,Florida,St. Johns County,123237
2000,Florida,St. Lucie County,192679
2000,Florida,Sumter County,53337
2000,Florida,Suwannee County,34881
2000,Florida,Taylor County,19253
2000,Florida,Union County,13428
2000,Florida,Volusia County,443385
2000,Florida,Wakulla County,22857
2000,Florida,Walton County,40561
2000,Florida,Washington County,20975
2000,Georgia,Appling County,17405
2000,Georgia,Atkinson County,7611
2000,Georgia,Bacon County,10098
2000,Georgia,Baker County,4047
2000,Georgia,Baldwin County,44616
2000,Georgia,Banks County,14425
2000,Georgia,Barrow County,46177
2000,Georgia,Bartow County,76062
2000,Georgia,Ben Hill County,17498
2000,Georgia,Berrien County,16210
2000,Georgia,Bibb County,153955
2000,Georgia,Bleckley County,11666
2000,Georgia,Brantley County,14608
2000,Georgia,Brooks County,16456
2000,Georgia,Bryan County,23430
2000,Georgia,Bulloch County,55961
2000,Georgia,Burke County,22255
2000,Georgia,Butts County,19460
2000,Georgia,Calhoun County,6317
2000,Georgia,Camden County,43658
2000,Georgia,Candler County,9561
2000,Georgia,Carroll County,87302
2000,Georgia,Catoosa County,53188
2000,Georgia,Charlton County,10282
2000,Georgia,Chatham County,232372
2000,Georgia,Chattahoochee County,14895
2000,Georgia,Chattooga County,25423
2000,Georgia,Cherokee County,142013
2000,Georgia,Clarke County,101941
2000,Georgia,Clay County,3342
2000,Georgia,Clayton County,236644
2000,Georgia,Clinch County,6847
2000,Georgia,Cobb County,607450
2000,Georgia,Coffee County,37421
2000,Georgia,Colquitt County,42050
2000,Georgia,Columbia County,89497
2000,Georgia,Cook County,15779
2000,Georgia,Coweta County,89254
2000,Georgia,Crawford County,12481
2000,Georgia,Crisp County,22020
2000,Georgia,Dade County,15141
2000,Georgia,Dawson County,15942
2000,Georgia,Dekalb County,666158
2000,Georgia,Decatur County,28252
2000,Georgia,Dodge County,19154
2000,Georgia,Dooly County,11480
2000,Georgia,Dougherty County,96067
2000,Georgia,Douglas County,92315
2000,Georgia,Early County,12333
2000,Georgia,Echols County,3747
2000,Georgia,Effingham County,37522
2000,Georgia,Elbert County,20509
2000,Georgia,Emanuel County,21856
2000,Georgia,Evans County,10485
2000,Georgia,Fannin County,19792
2000,Georgia,Fayette County,91313
2000,Georgia,Floyd County,90622
2000,Georgia,Forsyth County,98360
2000,Georgia,Franklin County,20259
2000,Georgia,Fulton County,815579
2000,Georgia,Gilmer County,23367
2000,Georgia,Glascock County,2563
2000,Georgia,Glynn County,67580
2000,Georgia,Gordon County,44090
2000,Georgia,Grady County,23655
2000,Georgia,Greene County,14363
2000,Georgia,Gwinnett County,588133
2000,Georgia,Habersham County,35884
2000,Georgia,Hall County,139615
2000,Georgia,Hancock County,10083
2000,Georgia,Haralson County,25660
2000,Georgia,Harris County,23783
2000,Georgia,Hart County,22981
2000,Georgia,Heard County,10980
2000,Georgia,Henry County,119498
2000,Georgia,Houston County,110740
2000,Georgia,Irwin County,9918
2000,Georgia,Jackson County,41612
2000,Georgia,Jasper County,11441
2000,Georgia,Jeff Davis County,12673
2000,Georgia,Jefferson County,17239
2000,Georgia,Jenkins County,8571
2000,Georgia,Johnson County,8526
2000,Georgia,Jones County,23691
2000,Georgia,Lamar County,15956
2000,Georgia,Lanier County,7246
2000,Georgia,Laurens County,44861
2000,Georgia,Lee County,24766
2000,Georgia,Liberty County,61661
2000,Georgia,Lincoln County,8330
2000,Georgia,Long County,10273
2000,Georgia,Lowndes County,92121
2000,Georgia,Lumpkin County,21041
2000,Georgia,Macon County,14041
2000,Georgia,Madison County,25705
2000,Georgia,Marion County,7133
2000,Georgia,Mcduffie County,21263
2000,Georgia,Mcintosh County,10839
2000,Georgia,Meriwether County,22546
2000,Georgia,Miller County,6368
2000,Georgia,Mitchell County,23925
2000,Georgia,Monroe County,21751
2000,Georgia,Montgomery County,8234
2000,Georgia,Morgan County,15499
2000,Georgia,Murray County,36501
2000,Georgia,Muscogee County,186213
2000,Georgia,Newton County,61906
2000,Georgia,Oconee County,25772
2000,Georgia,Oglethorpe County,12610
2000,Georgia,Paulding County,81615
2000,Georgia,Peach County,23702
2000,Georgia,Pickens County,23022
2000,Georgia,Pierce County,15624
2000,Georgia,Pike County,13460
2000,Georgia,Polk County,38102
2000,Georgia,Pulaski County,9604
2000,Georgia,Putnam County,18774
2000,Georgia,Quitman County,2596
2000,Georgia,Rabun County,15035
2000,Georgia,Randolph County,7791
2000,Georgia,Richmond County,199552
2000,Georgia,Rockdale County,70292
2000,Georgia,Schley County,3760
2000,Georgia,Screven County,15357
2000,Georgia,Seminole County,9364
2000,Georgia,Spalding County,58461
2000,Georgia,Stephens County,25442
2000,Georgia,Stewart County,5253
2000,Georgia,Sumter County,33228
2000,Georgia,Talbot County,6513
2000,Georgia,Taliaferro County,2076
2000,Georgia,Tattnall County,22314
2000,Georgia,Taylor County,8815
2000,Georgia,Telfair County,11815
2000,Georgia,Terrell County,10963
2000,Georgia,Thomas County,42791
2000,Georgia,Tift County,38376
2000,Georgia,Toombs County,26133
2000,Georgia,Towns County,9312
2000,Georgia,Treutlen County,6836
2000,Georgia,Troup County,58753
2000,Georgia,Turner County,9494
2000,Georgia,Twiggs County,10601
2000,Georgia,Union County,17286
2000,Georgia,Upson County,27761
2000,Georgia,Walker County,61140
2000,Georgia,Walton County,60637
2000,Georgia,Ware County,35497
2000,Georgia,Warren County,6309
2000,Georgia,Washington County,21197
2000,Georgia,Wayne County,26571
2000,Georgia,Webster County,2390
2000,Georgia,Wheeler County,6170
2000,Georgia,White County,19976
2000,Georgia,Whitfield County,83561
2000,Georgia,Wilcox County,8625
2000,Georgia,Wilkes County,10706
2000,Georgia,Wilkinson County,10202
2000,Georgia,Worth County,22029
2000,Hawaii,Hawaii County,148641
2000,Hawaii,Honolulu County,876159
2000,Hawaii,Kauai County,58460
2000,Hawaii,Maui County,128090
2000,Idaho,Ada County,300953
2000,Idaho,Adams County,3483
2000,Idaho,Bannock County,75562
2000,Idaho,Bear Lake County,6418
2000,Idaho,Benewah County,9169
2000,Idaho,Bingham County,41737
2000,Idaho,Blaine County,18994
2000,Idaho,Boise County,6644
2000,Idaho,Bonner County,36809
2000,Idaho,Bonneville County,82545
2000,Idaho,Boundary County,9880
2000,Idaho,Butte County,2897
2000,Idaho,Camas County,981
2000,Idaho,Canyon County,131452
2000,Idaho,Caribou County,7296
2000,Idaho,Cassia County,21399
2000,Idaho,Clark County,1022
2000,Idaho,Clearwater County,8928
2000,Idaho,Custer County,4340
2000,Idaho,Elmore County,29116
2000,Idaho,Franklin County,11333
2000,Idaho,Fremont County,11813
2000,Idaho,Gem County,15179
2000,Idaho,Gooding County,14150
2000,Idaho,Idaho County,15506
2000,Idaho,Jefferson County,19117
2000,Idaho,Jerome County,18401
2000,Idaho,Kootenai County,108682
2000,Idaho,Latah County,34925
2000,Idaho,Lemhi County,7798
2000,Idaho,Lewis County,3744
2000,Idaho,Lincoln County,4050
2000,Idaho,Madison County,27491
2000,Idaho,Minidoka County,20155
2000,Idaho,Nez Perce County,37418
2000,Idaho,Oneida County,4125
2000,Idaho,Owyhee County,10644
2000,Idaho,Payette County,20584
2000,Idaho,Power County,7542
2000,Idaho,Shoshone County,13763
2000,Idaho,Teton County,6006
2000,Idaho,Twin Falls County,64286
2000,Idaho,Valley County,7637
2000,Idaho,Washington County,9983
2000,Illinois,Adams County,68261
2000,Illinois,Alexander County,9583
2000,Illinois,Bond County,17636
2000,Illinois,Boone County,41788
2000,Illinois,Brown County,6952
2000,Illinois,Bureau County,35496
2000,Illinois,Calhoun County,5079
2000,Illinois,Carroll County,16671
2000,Illinois,Cass County,13691
2000,Illinois,Champaign County,179687
2000,Illinois,Christian County,35380
2000,Illinois,Clark County,16995
2000,Illinois,Clay County,14417
2000,Illinois,Clinton County,35536
2000,Illinois,Coles County,53210
2000,Illinois,Cook County,5376741
2000,Illinois,Crawford County,20460
2000,Illinois,Cumberland County,11311
2000,Illinois,De Witt County,16802
2000,Illinois,Dekalb County,88941
2000,Illinois,Douglas County,19909
2000,Illinois,Dupage County,904594
2000,Illinois,Edgar County,19643
2000,Illinois,Edwards County,6978
2000,Illinois,Effingham County,34267
2000,Illinois,Fayette County,21810
2000,Illinois,Ford County,14227
2000,Illinois,Franklin County,39021
2000,Illinois,Fulton County,38244
2000,Illinois,Gallatin County,6426
2000,Illinois,Greene County,14766
2000,Illinois,Grundy County,37528
2000,Illinois,Hamilton County,8613
2000,Illinois,Hancock County,20171
2000,Illinois,Hardin County,4793
2000,Illinois,Henderson County,8176
2000,Illinois,Henry County,51032
2000,Illinois,Iroquois County,31340
2000,Illinois,Jackson County,59607
2000,Illinois,Jasper County,10113
2000,Illinois,Jefferson County,40051
2000,Illinois,Jersey County,21649
2000,Illinois,Jo Daviess County,22296
2000,Illinois,Johnson County,12877
2000,Illinois,Kane County,404508
2000,Illinois,Kankakee County,103825
2000,Illinois,Kendall County,54539
2000,Illinois,Knox County,55842
2000,Illinois,Lasalle County,111599
2000,Illinois,Lake County,644682
2000,Illinois,Lawrence County,15449
2000,Illinois,Lee County,36062
2000,Illinois,Livingston County,39734
2000,Illinois,Logan County,31199
2000,Illinois,Macon County,114690
2000,Illinois,Macoupin County,49008
2000,Illinois,Madison County,259019
2000,Illinois,Marion County,41678
2000,Illinois,Marshall County,13159
2000,Illinois,Mason County,16034
2000,Illinois,Massac County,15163
2000,Illinois,Mcdonough County,32906
2000,Illinois,Mchenry County,259524
2000,Illinois,Mclean County,150384
2000,Illinois,Menard County,12483
2000,Illinois,Mercer County,16940
2000,Illinois,Monroe County,27625
2000,Illinois,Montgomery County,30646
2000,Illinois,Morgan County,36627
2000,Illinois,Moultrie County,14288
2000,Illinois,Ogle County,51001
2000,Illinois,Peoria County,183466
2000,Illinois,Perry County,23091
2000,Illinois,Piatt County,16385
2000,Illinois,Pike County,17362
2000,Illinois,Pope County,4397
2000,Illinois,Pulaski County,7333
2000,Illinois,Putnam County,6077
2000,Illinois,Randolph County,33897
2000,Illinois,Richland County,16291
2000,Illinois,Rock Island County,149390
2000,Illinois,Saline County,26752
2000,Illinois,Sangamon County,188974
2000,Illinois,Schuyler County,7181
2000,Illinois,Scott County,5539
2000,Illinois,Shelby County,22884
2000,Illinois,St. Clair County,256043
2000,Illinois,Stark County,6330
2000,Illinois,Stephenson County,48995
2000,Illinois,Tazewell County,128465
2000,Illinois,Union County,18311
2000,Illinois,Vermilion County,83929
2000,Illinois,Wabash County,12932
2000,Illinois,Warren County,18736
2000,Illinois,Washington County,15150
2000,Illinois,Wayne County,17149
2000,Illinois,White County,15381
2000,Illinois,Whiteside County,60662
2000,Illinois,Will County,502211
2000,Illinois,Williamson County,61300
2000,Illinois,Winnebago County,278441
2000,Illinois,Woodford County,35491
2000,Indiana,Adams County,33605
2000,Indiana,Allen County,331859
2000,Indiana,Bartholomew County,71467
2000,Indiana,Benton County,9427
2000,Indiana,Blackford County,14042
2000,Indiana,Boone County,46145
2000,Indiana,Brown County,14953
2000,Indiana,Carroll County,20168
2000,Indiana,Cass County,40924
2000,Indiana,Clark County,96446
2000,Indiana,Clay County,26567
2000,Indiana,Clinton County,33879
2000,Indiana,Crawford County,10743
2000,Indiana,Daviess County,29815
2000,Indiana,Dekalb County,40303
2000,Indiana,Dearborn County,46163
2000,Indiana,Decatur County,24559
2000,Indiana,Delaware County,118769
2000,Indiana,Dubois County,39868
2000,Indiana,Elkhart County,182793
2000,Indiana,Fayette County,25591
2000,Indiana,Floyd County,70815
2000,Indiana,Fountain County,17962
2000,Indiana,Franklin County,22187
2000,Indiana,Fulton County,20502
2000,Indiana,Gibson County,32473
2000,Indiana,Grant County,73410
2000,Indiana,Greene County,33152
2000,Indiana,Hamilton County,182763
2000,Indiana,Hancock County,55439
2000,Indiana,Harrison County,34354
2000,Indiana,Hendricks County,104051
2000,Indiana,Henry County,48511
2000,Indiana,Howard County,84961
2000,Indiana,Huntington County,38078
2000,Indiana,Jackson County,41397
2000,Indiana,Jasper County,30192
2000,Indiana,Jay County,21815
2000,Indiana,Jefferson County,31712
2000,Indiana,Jennings County,27561
2000,Indiana,Johnson County,115181
2000,Indiana,Knox County,39263
2000,Indiana,Kosciusko County,74053
2000,Indiana,Lagrange County,34789
2000,Indiana,Laporte County,110099
2000,Indiana,Lake County,484582
2000,Indiana,Lawrence County,45912
2000,Indiana,Madison County,133322
2000,Indiana,Marion County,860440
2000,Indiana,Marshall County,45126
2000,Indiana,Martin County,10367
2000,Indiana,Miami County,36085
2000,Indiana,Monroe County,120561
2000,Indiana,Montgomery County,37629
2000,Indiana,Morgan County,66705
2000,Indiana,Newton County,14538
2000,Indiana,Noble County,46468
2000,Indiana,Ohio County,5568
2000,Indiana,Orange County,19301
2000,Indiana,Owen County,21781
2000,Indiana,Parke County,17194
2000,Indiana,Perry County,18887
2000,Indiana,Pike County,12835
2000,Indiana,Porter County,146806
2000,Indiana,Posey County,27078
2000,Indiana,Pulaski County,13626
2000,Indiana,Putnam County,36060
2000,Indiana,Randolph County,27411
2000,Indiana,Ripley County,26508
2000,Indiana,Rush County,18258
2000,Indiana,Scott County,22976
2000,Indiana,Shelby County,43380
2000,Indiana,Spencer County,20385
2000,Indiana,St. Joseph County,265567
2000,Indiana,Starke County,23567
2000,Indiana,Steuben County,33233
2000,Indiana,Sullivan County,21736
2000,Indiana,Switzerland County,9082
2000,Indiana,Tippecanoe County,148954
2000,Indiana,Tipton County,16601
2000,Indiana,Union County,7341
2000,Indiana,Vanderburgh County,171941
2000,Indiana,Vermillion County,16790
2000,Indiana,Vigo County,105859
2000,Indiana,Wabash County,34968
2000,Indiana,Warren County,8415
2000,Indiana,Warrick County,52380
2000,Indiana,Washington County,27204
2000,Indiana,Wayne County,71087
2000,Indiana,Wells County,27626
2000,Indiana,White County,25264
2000,Indiana,Whitley County,30617
2000,Iowa,Adair County,8252
2000,Iowa,Adams County,4479
2000,Iowa,Allamakee County,14687
2000,Iowa,Appanoose County,13715
2000,Iowa,Audubon County,6826
2000,Iowa,Benton County,25312
2000,Iowa,Black Hawk County,127990
2000,Iowa,Boone County,26206
2000,Iowa,Bremer County,23361
2000,Iowa,Buchanan County,21092
2000,Iowa,Buena Vista County,20415
2000,Iowa,Butler County,15307
2000,Iowa,Calhoun County,11114
2000,Iowa,Carroll County,21433
2000,Iowa,Cass County,14689
2000,Iowa,Cedar County,18181
2000,Iowa,Cerro Gordo County,46454
2000,Iowa,Cherokee County,13032
2000,Iowa,Chickasaw County,13095
2000,Iowa,Clarke County,9131
2000,Iowa,Clay County,17369
2000,Iowa,Clayton County,18667
2000,Iowa,Clinton County,50159
2000,Iowa,Crawford County,16945
2000,Iowa,Dallas County,41109
2000,Iowa,Davis County,8541
2000,Iowa,Decatur County,8689
2000,Iowa,Delaware County,18422
2000,Iowa,Des Moines County,42359
2000,Iowa,Dickinson County,16429
2000,Iowa,Dubuque County,89133
2000,Iowa,Emmet County,11022
2000,Iowa,Fayette County,22020
2000,Iowa,Floyd County,16898
2000,Iowa,Franklin County,10700
2000,Iowa,Fremont County,8008
2000,Iowa,Greene County,10372
2000,Iowa,Grundy County,12370
2000,Iowa,Guthrie County,11348
2000,Iowa,Hamilton County,16435
2000,Iowa,Hancock County,12107
2000,Iowa,Hardin County,18806
2000,Iowa,Harrison County,15674
2000,Iowa,Henry County,20353
2000,Iowa,Howard County,9951
2000,Iowa,Humboldt County,10384
2000,Iowa,Ida County,7839
2000,Iowa,Iowa County,15680
2000,Iowa,Jackson County,20295
2000,Iowa,Jasper County,37229
2000,Iowa,Jefferson County,16180
2000,Iowa,Johnson County,110983
2000,Iowa,Jones County,20227
2000,Iowa,Keokuk County,11405
2000,Iowa,Kossuth County,17159
2000,Iowa,Lee County,38062
2000,Iowa,Linn County,191728
2000,Iowa,Louisa County,12188
2000,Iowa,Lucas County,9412
2000,Iowa,Lyon County,11763
2000,Iowa,Madison County,14012
2000,Iowa,Mahaska County,22319
2000,Iowa,Marion County,32048
2000,Iowa,Marshall County,39332
2000,Iowa,Mills County,14543
2000,Iowa,Mitchell County,10877
2000,Iowa,Monona County,10020
2000,Iowa,Monroe County,8012
2000,Iowa,Montgomery County,11775
2000,Iowa,Muscatine County,41723
2000,Iowa,O'Brien County,15096
